baseapp.pengyou.com,baseapp.pengyou.com,
sk.qq.com,sk.qq.com,
fun.alipay.com,fun.alipay.com,10.0
imgcache.qq.com,imgcache.qq.com,
Book,book,
RavMonD,ravmond,
www.google.com,www.google.com,
yygame,yygame,2.0
QPUp,qpup,
qzs.qq.com,qzs.qq.com,
cs.twcczhu.com,cs.twcczhu.com,
2012.sohu.com,2012.sohu.com,5.0
pic.news.sohu.com,pic.news.sohu.com,5.0
shenghuo.alipay.com,shenghuo.alipay.com,10.0
QQPCDownload,qqpcdownload,
G3 eWalk,g3 ewalk,
UUSeeMediaCenter,uuseemediacenter,
Coral,coral,
SohuVA,sohuva,5.0
avgnt,avgnt,
www.abchina.com,www.abchina.com,
qb.bestooxx.com,qb.bestooxx.com,
酷狗音乐2012,酷狗音乐2012,3.0
PersonalBankPortal,personalbankportal,10.0
XLacc,xlacc,
WDCertM_CCB,wdcertm_ccb,
nEOiMAGING,neoimaging,
www.iclick.cn,www.iclick.cn,
sobar.soso.com,sobar.soso.com,
tech.qq.com,tech.qq.com,
vip.qq.com,vip.qq.com,
yingyong.taobao.com,yingyong.taobao.com,11.0
xunyou,xunyou,
plugin-container,plugin-container,
www.web887.com,www.web887.com,
p.zx915.com,p.zx915.com,
War3,war3,2.0
youxi.vip.qq.com,youxi.vip.qq.com,
GLWorld,glworld,
games.qq.com,games.qq.com,2.0
aq.qq.com,aq.qq.com,
PotPlayerMini,potplayermini,3.0
www.doc88.com,www.doc88.com,
www.tianya.cn,www.tianya.cn,
chrome:,chrome:,13.0
11GameBox,11gamebox,2.0
XmpTipWnd.1.0.0.8.exe,xmptipwnd.1.0.0.8,
loader,loader,
vip.tmall.com,vip.tmall.com,
liebao,liebao,
www2.iclick.cn,www2.iclick.cn,
XmpTipWnd.1.0.0.7.exe,xmptipwnd.1.0.0.7,
tradeexprod.alipay.com,tradeexprod.alipay.com,10.0
